"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","method","Data_point","meanTleaf","vcmax_25"
0,114.572475860486,0.496621421621119,125.441559634938,119.499714734825,0.0456335129669354,1000,NA,2.30410986544545,0.0413521273833796,51.3352987984826,300.6168,1472.454,100,270,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L8","DAT","Before_DAT",31.5370510103627,187.416412860693
0,42.2473181868866,0.490282330420582,45.0890248702985,44.4098645914792,0.0276639294938279,1000,NA,4.25347211018409,0.0358444055794573,21.1168889361534,288.17792105,1435.830249,107,265,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L1","DAT","Before_DAT",31.8086005918926,70.1276686868187
0,34.5615642527872,0.236606560006704,46.1816335458042,45.4679929480494,0.0176096484733863,1000,NA,0.848850398182218,0.0298292663998782,9.33529228576018,439.7718198,1683.024549,110,267,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L2","DAT","Before_DAT",31.6188370717391,56.7893490083818
0,54.53869080112,0.348277907119932,61.664216371873,60.3618274988795,0.0367661183775542,1000,NA,3.22305231778951,0.0323837412618751,35.0842077570386,333.16345015,1594.767173,100,273,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L3","DAT","Before_DAT",31.5699686023919,89.3754794476067
0,33.1195626549496,1.15331556321066,11.9470275996808,11.9016366962776,0.0489845422902437,1000,NA,0.427501736557187,0.129746327398434,93.1128322378651,432.10555,1766.122,110,269,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L1","DAT","Before_DAT",31.8063784183673,54.9697723705876
0,41.8737764556934,1.0885077618616,15.6675440386521,15.5890512488487,0.0573524007199264,1000,NA,0.00770055361390965,0.133206484015559,119.386747699712,438.477,1775.057,105,275,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L2","DAT","Before_DAT",31.2337179283887,67.3339199356456
0,36.7320718923468,0.195140732825052,53.2318536096321,52.2735780218686,0.0447261706659357,1000,NA,0.498285624201401,0.0281384850551622,35.3133317783124,506.74605,1441.187,157,218,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L1","DAT","Before_DAT",31.6706186700767,60.5254386226107
0,35.1912003215079,0.198730231570706,46.7249166509477,45.9937875664318,0.0412305640581404,1000,NA,2.2741747007048,0.0241406555455786,32.1756697148341,435.20935,1451.499,142,230,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L1-1","DAT","Before_DAT",31.6503615601023,57.9229856217186
0,48.4931661228947,0.332070465593589,60.4101281430995,59.1625380740636,0.0247860311173887,1000,NA,0.376247445684365,0.0363794678930732,16.6073244827787,377.56086105,1524.562533,115,261,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L2","DAT","Before_DAT",31.4610576541071,78.990878224279
0,58.8285105339995,0.577255672517748,66.1099449028232,64.6028811714432,0.0475059154732794,1000,NA,1.1906717518804,0.0851134592839533,63.0566550186417,529.94695,1332.108,146,229,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L1","DAT","Before_DAT",31.5032227877238,96.051204958722
0,49.3315592480948,0.591207426076065,59.0940638349136,57.902614488227,0.0527176097269371,1000,NA,2.60554276676423,0.101193452940685,86.65129572409,612.7897,1654.175,156,221,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L2","DAT","Before_DAT",31.4283884654731,80.2098159372804
0,64.9549500745494,0.446390605946728,81.8802095093492,79.5122827180059,0.0328021954000057,1000,NA,0.636492885558804,0.0621298854891931,34.1017338905902,455.21024955,1579.758583,110,271,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L1","DAT","Before_DAT",31.0168508951407,103.129902437194
0,68.084705914115,0.496040380016467,87.8296097107354,85.0802048491829,0.0416667254081029,1000,NA,0.912317401375355,0.0824803093019701,53.8912166615856,559.2467358,1657.779747,139,242,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L2","DAT","Before_DAT",31.0774897271867,108.488043937117
0,24.9670036427007,0.25389455529471,47.1446297850877,46.3998388631063,0.0426336200630873,1000,NA,-0.179404110699101,0.0609276050493696,35.8855605403649,885.9579422,1622.624,200,172,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6718L1","DAT","Before_DAT",31.8335806257908,41.4980456175173
