"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,127.247824192488,1.58561054153359,130.363115883601,123.89708822578,0.505738611669072,6.28840354528836,0.0140202237851729,2.92786752838612,0.214492375401982,400.165581377795,454.04775,697.40135,128,44,207,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2"
0,132.555865502881,1.15392524746402,145.653456183221,137.389328311133,0.496480306357517,6.45774801337045,0.0156562973924762,2.54425010836027,0.13580991286174,333.748546683064,390.1254,577.96705,114,35,229,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2-2"
0,48.3074745990186,0.273331944319616,58.5676005930579,57.3982203771991,0.0417803878431729,1000,NA,0.608662190627115,0.0316381325858691,45.2153202051802,407.2951446,1591.270231,111,269,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L1"
0,41.7046468472587,0.257865637958408,52.8686389888158,51.9239176154047,0.0237643241502948,1000,NA,1.54724135553347,0.0295262102201131,14.8910751746744,408.36353195,1568.488902,112,263,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L2"
0,105.703435751883,1.22553027169983,97.6392343098099,94.189967512484,0.0904650093206609,1000,NA,2.5087000027883,0.133174038369516,216.727921794597,404.0960542,1504.227398,135,242,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2"
0,128.555076985567,0.624062450269121,127.509272000274,121.350360658336,0.042643974720755,1000,NA,2.18886795370751,0.0415388391987593,42.032197054512,242.5968,1116.697,100,273,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L3"
0,84.0817614876339,1.11536941264428,60.4684862379271,59.2183754567534,0.269553871585993,5.7309877931595,0.0321365211374862,10.9445531503755,0.101674999505998,382.224129325075,359.7536336,827.94626025,134,99,137,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L6"
0,114.572475860486,0.496621421621119,125.538583474021,119.586654299017,0.0447785214361416,8.38593226707374,0.0240301007483387,2.30410986544545,0.0413521273833796,49.937334672811,300.6168,1457.5245,100,267,3,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L8"
0,42.2473181868866,0.490282330420582,44.6803764796038,44.0138796985052,0.0272261168151667,3.39187766957828,0.0143502098771843,4.25347211018409,0.0358444055794573,20.8465759651545,288.17792105,1284.1109685,107,228,37,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L1"
0,34.5615642527872,0.236606560006704,46.1816335458042,45.4679929480494,0.0176096484733863,1000,NA,0.848850398182218,0.0298292663998782,9.33529228576018,439.7718198,1683.024549,110,267,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L2"
0,54.53869080112,0.348277907119932,62.2757000389407,60.9461238713827,0.0381872725456599,4.29089511445776,0.00787540600704901,3.22305231778951,0.0323837412618751,32.4074023775318,333.16345015,1388.10286,100,230,43,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L3"
